#(id,from,to,speed,planTime)
(10000,32,54,2,6)
(10001,56,8,2,3)
(10002,94,44,3,8)
(10003,19,51,5,7)
(10004,5,89,4,7)
(10005,58,20,7,10)
(10006,65,30,4,4)
(10007,10,51,7,3)
(10008,71,97,2,8)
(10009,5,57,6,3)
(10010,0,75,1,10)
(10011,93,87,4,5)
(10012,75,88,4,7)
(10013,7,40,7,4)
(10014,36,44,2,2)
(10015,95,43,1,8)
(10016,5,15,2,10)
(10017,72,95,7,6)
(10018,69,37,3,8)
(10019,90,77,8,1)
(10020,30,80,5,9)
(10021,86,33,3,2)
(10022,77,100,5,1)
(10023,8,22,3,3)
(10024,38,94,4,10)
(10025,54,65,4,9)
(10026,69,4,6,3)
(10027,47,7,6,7)
(10028,53,17,2,2)
(10029,50,22,1,10)
(10030,89,94,2,8)
(10031,16,65,6,6)
(10032,24,67,2,7)
(10033,98,42,3,6)
(10034,46,49,1,5)
(10035,56,44,8,10)
(10036,62,17,5,9)
(10037,40,4,4,7)
(10038,0,57,4,7)
(10039,0,1,1,10)
(10040,30,100,7,2)
(10041,66,63,5,5)
(10042,19,44,1,8)
(10043,81,78,6,8)
(10044,91,2,8,3)
(10045,73,64,8,6)
(10046,21,78,4,9)
(10047,46,25,2,6)
(10048,92,84,4,4)
(10049,46,31,5,7)
(10050,75,40,3,4)
(10051,84,51,3,5)
(10052,19,21,6,10)
(10053,86,100,8,5)
(10054,44,67,4,1)
(10055,58,13,7,5)
(10056,63,44,3,5)
(10057,76,77,1,3)
(10058,83,100,5,6)
(10059,51,56,5,3)
(10060,77,10,1,7)
(10061,10,57,3,2)
(10062,23,60,3,2)
(10063,39,40,1,1)
(10064,84,35,2,3)
(10065,11,83,3,3)
(10066,83,12,1,3)
(10067,34,0,4,3)
(10068,10,96,8,9)
(10069,53,5,3,2)
(10070,66,15,4,1)
(10071,55,87,5,10)
(10072,88,49,5,4)
(10073,32,4,3,7)
(10074,83,53,5,1)
(10075,53,14,4,7)
(10076,77,99,3,10)
(10077,3,22,5,9)
(10078,4,61,3,7)
(10079,13,11,6,7)
(10080,27,94,8,2)
(10081,64,92,1,2)
(10082,44,85,4,1)
(10083,65,89,7,8)
(10084,87,41,1,1)
(10085,29,7,2,7)
(10086,34,64,5,3)
(10087,76,55,2,6)
(10088,48,46,3,1)
(10089,37,99,7,9)
(10090,83,20,6,10)
(10091,9,35,4,3)
(10092,76,57,2,10)
(10093,64,10,8,1)
(10094,74,63,5,10)
(10095,18,91,8,2)
(10096,36,77,3,2)
(10097,75,35,3,5)
(10098,22,30,6,5)
(10099,65,58,6,9)
(10100,14,78,3,9)
(10101,54,83,1,4)
(10102,12,86,1,4)
(10103,42,93,3,8)
(10104,70,5,7,1)
(10105,40,36,7,10)
(10106,66,71,2,4)
(10107,95,18,6,7)
(10108,62,48,5,6)
(10109,98,28,5,7)
(10110,80,84,1,1)
(10111,43,66,5,1)
(10112,71,13,2,5)
(10113,49,22,3,10)
(10114,59,65,2,1)
(10115,49,81,8,10)
(10116,29,47,5,10)
(10117,41,66,6,5)
(10118,50,73,6,6)
(10119,4,72,5,8)
(10120,86,25,2,10)
(10121,14,24,4,3)
(10122,55,93,7,10)
(10123,73,87,2,2)
(10124,100,37,3,2)
(10125,3,61,2,4)
(10126,33,35,2,1)
(10127,73,14,3,8)
(10128,5,99,2,5)
(10129,22,40,7,6)
(10130,32,17,3,1)
(10131,3,94,1,7)
(10132,97,99,3,7)
(10133,60,37,1,2)
(10134,38,28,4,8)
(10135,8,35,1,6)
(10136,60,100,3,10)
(10137,24,39,4,5)
(10138,52,34,4,4)
(10139,39,80,3,7)
(10140,89,74,7,8)
(10141,25,89,6,8)
(10142,18,6,2,9)
(10143,7,8,2,9)
(10144,74,95,8,4)
(10145,33,96,8,5)
(10146,96,83,3,10)
(10147,62,71,3,9)
(10148,10,69,6,2)
(10149,23,3,2,10)
(10150,76,49,7,4)
(10151,23,67,8,8)
(10152,61,13,5,1)
(10153,75,33,2,6)
(10154,15,39,4,2)
(10155,76,77,2,2)
(10156,11,33,3,1)
(10157,37,8,5,7)
(10158,23,9,5,10)
(10159,76,43,3,1)
(10160,57,70,5,3)
(10161,69,4,1,6)
(10162,10,39,8,4)
(10163,82,52,4,5)
(10164,85,59,5,1)
(10165,33,35,4,6)
(10166,44,28,6,2)
(10167,37,78,4,6)
(10168,14,48,2,9)
(10169,18,59,7,3)
(10170,99,25,6,1)
(10171,77,51,7,4)
(10172,9,32,7,5)
(10173,33,15,3,8)
(10174,9,68,7,10)
(10175,12,82,3,8)
(10176,96,98,2,2)
(10177,57,7,6,9)
(10178,33,55,2,9)
(10179,5,3,3,1)
(10180,53,58,6,2)
(10181,23,79,2,10)
(10182,6,23,3,6)
(10183,29,61,7,6)
(10184,36,63,1,10)
(10185,71,4,6,4)
(10186,71,85,1,6)
(10187,88,11,7,1)
(10188,35,83,5,3)
(10189,27,17,1,1)
(10190,40,16,1,5)
(10191,44,3,7,9)
(10192,32,45,7,1)
(10193,49,64,3,10)
(10194,14,90,4,3)
(10195,68,75,4,5)
(10196,23,82,7,1)
(10197,65,75,4,3)
(10198,57,38,5,4)
(10199,7,1,8,5)
(10200,12,68,4,6)
(10201,31,0,3,10)
(10202,91,43,6,4)
(10203,17,53,7,9)
(10204,0,19,5,5)
(10205,60,42,1,2)
(10206,46,41,4,3)
(10207,8,97,3,7)
(10208,64,0,4,10)
(10209,0,28,6,10)
(10210,71,50,6,9)
(10211,70,7,8,8)
(10212,26,87,3,3)
(10213,95,69,4,1)
(10214,9,19,4,1)
(10215,15,87,6,5)
(10216,87,85,2,1)
(10217,13,43,8,8)
(10218,94,91,3,5)
(10219,98,33,1,8)
(10220,86,66,8,7)
(10221,35,79,8,6)
(10222,98,80,1,4)
(10223,66,31,4,10)
(10224,82,97,3,2)
(10225,39,48,4,3)
(10226,38,49,3,6)
(10227,49,26,5,5)
(10228,58,1,6,3)
(10229,80,67,3,6)
(10230,46,97,4,9)
(10231,27,81,6,3)
(10232,77,0,2,9)
(10233,48,47,6,8)
(10234,62,7,7,4)
(10235,100,13,7,8)
(10236,81,24,6,2)
(10237,91,18,7,10)
(10238,14,25,2,4)
(10239,72,10,1,10)
(10240,10,18,4,8)
(10241,65,42,2,3)
(10242,16,32,3,9)
(10243,11,47,6,7)
(10244,71,89,1,5)
(10245,73,86,6,9)
(10246,77,43,6,5)
(10247,19,43,4,8)
(10248,61,24,6,3)
(10249,66,98,7,10)
(10250,96,20,6,6)
(10251,67,69,5,3)
(10252,23,13,3,3)
(10253,66,58,2,10)
(10254,0,44,3,6)
(10255,54,85,8,1)
(10256,8,1,2,8)
(10257,66,23,1,2)
(10258,43,86,6,1)
(10259,21,30,8,6)
(10260,44,75,4,2)
(10261,99,56,3,1)
(10262,67,40,2,5)
(10263,25,32,4,5)
(10264,0,73,3,3)
(10265,96,29,5,1)
(10266,81,93,7,10)
(10267,90,92,7,7)
(10268,32,52,8,10)
(10269,8,58,7,4)
(10270,99,13,2,2)
(10271,46,61,8,9)
(10272,34,96,7,4)
(10273,24,36,2,6)
(10274,96,13,6,1)
(10275,72,18,7,2)
(10276,36,24,6,6)
(10277,82,29,3,4)
(10278,43,11,5,6)
(10279,39,24,8,10)
(10280,86,44,7,10)
(10281,46,34,4,4)
(10282,48,52,5,5)
(10283,36,41,4,7)
(10284,31,22,2,3)
(10285,51,67,3,2)
(10286,44,95,1,9)
(10287,85,48,1,8)
(10288,58,56,6,3)
(10289,90,91,3,7)
(10290,43,70,3,7)
(10291,77,44,5,6)
(10292,66,100,8,10)
(10293,66,46,1,3)
(10294,6,24,7,2)
(10295,39,46,8,7)
(10296,68,37,4,9)
(10297,28,79,8,4)
(10298,48,16,3,6)
(10299,60,66,7,9)
(10300,65,19,8,10)
(10301,32,16,4,6)
(10302,41,97,3,5)
(10303,43,88,7,10)
(10304,25,9,8,4)
(10305,88,28,2,5)
(10306,44,3,1,10)
(10307,69,24,4,7)
(10308,9,0,2,7)
(10309,84,34,4,4)
(10310,30,7,4,4)
(10311,95,78,5,5)
(10312,53,16,8,10)
(10313,44,26,6,3)
(10314,30,100,8,4)
(10315,23,50,4,6)
(10316,17,26,3,10)
(10317,60,85,3,8)
(10318,92,93,1,6)
(10319,36,78,6,8)
(10320,61,75,6,3)
(10321,68,3,4,4)
(10322,69,14,8,9)
(10323,31,59,4,3)
(10324,86,28,3,10)
(10325,12,37,3,9)
(10326,29,64,5,8)
(10327,41,93,5,2)
(10328,67,83,3,5)
(10329,52,98,5,4)
(10330,78,93,2,2)
(10331,17,100,1,7)
(10332,95,2,7,6)
(10333,39,15,8,10)
(10334,79,31,4,3)
(10335,23,52,5,4)
(10336,34,93,7,8)
(10337,56,87,5,1)
(10338,79,15,3,4)
(10339,15,65,1,5)
(10340,67,79,8,3)
(10341,95,91,7,9)
(10342,21,38,8,4)
(10343,91,46,4,5)
(10344,38,90,2,9)
(10345,76,81,5,2)
(10346,63,70,6,9)
(10347,0,48,1,6)
(10348,94,0,4,2)
(10349,92,12,7,6)
(10350,17,85,1,5)
(10351,30,56,7,8)
(10352,45,73,5,10)
(10353,20,22,5,3)
(10354,59,91,4,4)
(10355,5,79,6,8)
(10356,79,32,5,7)
(10357,11,44,1,4)
(10358,95,72,1,7)
(10359,27,65,1,6)
(10360,4,19,4,5)
(10361,8,99,3,2)
(10362,89,99,3,6)
(10363,77,18,8,10)
(10364,16,42,4,5)
(10365,53,6,6,2)
(10366,78,56,4,5)
(10367,88,29,1,4)
(10368,48,99,7,4)
(10369,97,20,1,1)
(10370,18,14,1,9)
(10371,99,2,3,6)
(10372,44,5,3,3)
(10373,11,63,3,3)
(10374,19,48,5,8)
(10375,77,100,7,7)
(10376,99,78,5,8)
(10377,98,1,4,3)
(10378,82,91,3,8)
(10379,93,22,3,2)
(10380,28,2,1,6)
(10381,65,76,2,4)
(10382,90,86,7,2)
(10383,52,22,1,8)
(10384,1,10,8,4)
(10385,90,40,2,5)
(10386,14,98,3,7)
(10387,58,40,6,7)
(10388,72,2,7,10)
(10389,63,7,5,4)
(10390,29,34,3,4)
(10391,23,83,6,7)
(10392,59,69,6,9)
(10393,8,11,1,3)
(10394,8,31,7,7)
(10395,38,90,7,10)
(10396,92,48,7,4)
(10397,55,25,1,3)
(10398,60,69,3,1)
(10399,51,74,1,6)
(10400,42,67,2,3)
(10401,44,17,8,2)
(10402,49,65,3,2)
(10403,54,7,8,9)
(10404,21,85,5,4)
(10405,10,68,3,9)
(10406,36,24,4,7)
(10407,98,24,4,1)
(10408,57,86,3,3)
(10409,2,62,4,4)
(10410,26,34,6,4)
(10411,41,32,4,5)
(10412,16,56,8,2)
(10413,23,65,1,6)
(10414,89,80,4,4)
(10415,71,6,1,5)
(10416,92,47,1,8)
(10417,75,45,8,2)
(10418,46,14,2,7)
(10419,46,36,3,1)
(10420,58,87,5,9)
(10421,17,83,8,5)
(10422,63,85,3,8)
(10423,91,48,2,1)
(10424,62,53,4,10)
(10425,99,53,6,8)
(10426,67,82,5,3)
(10427,84,45,4,6)
(10428,98,95,6,7)
(10429,43,27,6,1)
(10430,78,77,5,4)
(10431,25,98,6,8)
(10432,16,93,2,9)
(10433,45,58,1,9)
(10434,40,54,4,1)
(10435,65,64,7,4)
(10436,58,86,2,6)
(10437,12,63,1,3)
(10438,39,44,1,1)
(10439,7,8,8,4)
(10440,0,38,2,4)
(10441,96,61,5,10)
(10442,14,81,5,1)
(10443,44,89,7,8)
(10444,74,83,2,10)
(10445,45,75,7,2)
(10446,18,100,4,9)
(10447,7,30,6,6)
(10448,34,52,4,2)
(10449,12,8,1,1)
(10450,89,55,1,3)
(10451,43,11,6,9)
(10452,95,3,5,9)
(10453,78,9,7,7)
(10454,8,37,5,6)
(10455,67,1,8,10)
(10456,53,7,5,7)
(10457,16,25,8,7)
(10458,80,63,2,2)
(10459,75,3,7,7)
(10460,6,38,6,1)
(10461,47,30,3,8)
(10462,67,100,4,9)
(10463,68,26,2,3)
(10464,33,27,2,2)
(10465,53,43,2,8)
(10466,6,22,3,10)
(10467,26,24,1,3)
(10468,28,21,4,4)
(10469,51,95,6,1)
(10470,61,66,7,1)
(10471,58,14,6,8)
(10472,42,33,7,5)
(10473,76,92,1,4)
(10474,14,79,7,9)
(10475,70,76,3,3)
(10476,98,87,5,5)
(10477,81,1,2,3)
(10478,33,81,6,8)
(10479,96,16,5,3)
(10480,15,54,3,7)
(10481,12,55,1,2)
(10482,0,100,1,5)
(10483,42,69,6,3)
(10484,21,5,6,8)
(10485,6,51,6,5)
(10486,99,78,4,3)
(10487,60,79,2,6)
(10488,99,59,5,10)
(10489,80,2,7,7)
(10490,69,67,5,9)
(10491,2,16,8,2)
(10492,88,68,7,1)
(10493,86,68,5,8)
(10494,11,64,7,10)
(10495,42,72,6,6)
(10496,97,42,2,9)
(10497,11,86,6,7)
(10498,19,4,1,4)
(10499,87,4,2,10)
(10500,72,69,3,10)
(10501,2,35,1,7)
(10502,99,15,1,7)
(10503,53,61,3,8)
(10504,69,29,1,3)
(10505,15,47,8,8)
(10506,51,14,3,2)
(10507,85,98,6,2)
(10508,32,13,2,8)
(10509,48,53,4,10)
(10510,34,29,8,2)
(10511,56,30,5,8)
(10512,60,94,7,7)
(10513,40,30,5,10)
(10514,10,62,2,3)
(10515,59,40,6,3)
(10516,53,64,8,1)
(10517,83,4,8,7)
(10518,100,63,5,3)
(10519,93,39,6,9)
(10520,100,51,7,4)
(10521,81,100,8,5)
(10522,61,24,8,5)
(10523,64,37,5,1)
(10524,67,34,8,6)
(10525,38,27,3,7)
(10526,56,70,1,9)
(10527,75,6,1,4)
(10528,57,59,2,2)
(10529,24,75,7,7)
(10530,100,81,4,6)
(10531,17,48,2,3)
(10532,48,27,7,7)
(10533,21,32,4,1)
(10534,68,16,7,8)
(10535,22,92,7,9)
(10536,16,95,4,8)
(10537,70,10,2,2)
(10538,91,29,6,1)
(10539,43,8,4,2)
(10540,2,23,2,4)
(10541,22,0,1,9)
(10542,16,58,4,1)
(10543,15,14,4,2)
(10544,75,32,2,5)
(10545,8,63,1,3)
(10546,92,42,7,4)
(10547,50,97,4,8)
(10548,87,36,3,5)
(10549,36,7,3,5)
(10550,31,96,3,6)
(10551,76,71,1,10)
(10552,69,80,1,7)
(10553,42,72,3,1)
(10554,13,15,8,9)
(10555,79,60,7,7)
(10556,62,56,7,5)
(10557,29,1,2,9)
(10558,97,3,2,6)
(10559,40,81,4,1)
(10560,26,15,8,6)
(10561,87,96,5,2)
(10562,77,69,3,2)
(10563,28,10,6,1)
(10564,32,23,5,4)
(10565,25,34,7,4)
(10566,3,91,4,7)
(10567,37,81,5,1)
(10568,96,3,7,6)
(10569,65,100,6,1)
(10570,68,10,8,10)
(10571,88,48,8,5)
(10572,37,70,4,5)
(10573,70,100,3,7)
(10574,91,8,3,6)
