#(id,length,speed,channel,from,to,isDuplex)
(5000,16,2,2,1,2,1)
(5001,20,3,5,1,11,0)
(5002,17,8,2,2,3,1)
(5004,16,4,5,3,4,1)
(5005,19,6,4,3,13,1)
(5006,16,1,1,4,5,0)
(5008,22,8,2,5,6,1)
(5009,23,4,2,5,15,1)
(5010,12,1,3,6,7,0)
(5011,13,6,5,6,16,1)
(5013,23,4,4,7,17,1)
(5014,16,8,5,8,9,1)
(5015,13,2,1,8,18,0)
(5016,22,2,2,9,10,1)
(5017,18,8,1,9,19,1)
(5018,23,1,3,10,20,1)
(5019,20,8,3,11,12,0)
(5020,17,7,2,11,21,1)
(5021,17,2,3,12,13,1)
(5022,18,1,1,12,22,1)
(5024,20,3,2,13,23,0)
(5025,16,5,5,14,15,1)
(5026,15,6,4,14,24,1)
(5027,19,6,2,15,16,0)
(5028,23,7,2,15,25,1)
(5030,17,6,2,16,26,1)
(5031,14,6,5,17,18,1)
(5032,20,8,5,17,27,0)
(5033,19,4,3,18,19,1)
(5034,21,8,3,18,28,1)
(5035,18,7,2,19,20,1)
(5036,17,6,2,19,29,0)
(5038,15,4,2,21,22,1)
(5039,14,2,2,21,31,1)
(5040,13,3,4,22,23,0)
(5041,13,7,4,22,32,1)
(5042,17,2,1,23,24,1)
(5044,15,3,4,24,25,0)
(5045,20,3,2,24,34,0)
(5046,21,2,4,25,26,1)
(5047,22,1,4,25,35,1)
(5048,24,6,4,26,27,0)
(5049,17,1,5,26,36,1)
(5050,20,2,5,27,28,0)
(5051,24,7,5,27,37,1)
(5052,14,8,2,28,29,1)
(5053,13,5,5,28,38,1)
(5054,17,5,5,29,30,0)
(5055,21,2,2,29,39,1)
(5056,15,7,3,30,40,1)
(5057,13,3,5,31,32,1)
(5058,24,2,1,31,41,0)
(5059,24,3,1,32,33,1)
(5060,14,4,1,32,42,1)
(5061,18,4,2,33,34,0)
(5062,17,6,1,33,43,1)
(5063,14,3,1,34,35,1)
(5064,10,4,4,34,44,0)
(5065,17,2,2,35,36,1)
(5066,21,1,2,35,45,1)
(5067,20,8,3,36,37,1)
(5069,16,1,3,37,38,0)
(5070,14,8,3,37,47,1)
(5071,12,1,3,38,39,1)
(5072,12,2,3,38,48,0)
(5073,13,4,4,39,40,1)
(5074,15,5,4,39,49,1)
(5075,17,8,2,40,50,0)
(5076,13,7,5,41,42,1)
(5077,21,4,5,41,51,1)
(5078,23,6,2,42,43,0)
(5079,18,2,5,42,52,1)
(5080,20,2,4,43,44,1)
(5081,17,6,4,43,53,0)
(5082,15,4,1,44,45,1)
(5083,17,4,1,44,54,1)
(5084,13,2,1,45,46,0)
(5085,15,3,1,45,55,1)
(5086,14,7,4,46,47,1)
(5087,21,5,5,46,56,0)
(5088,10,7,5,47,48,1)
(5090,19,4,1,48,49,1)
(5091,13,4,1,48,58,0)
(5093,21,3,1,49,59,1)
(5095,15,8,3,51,52,1)
(5096,24,8,2,51,61,0)
(5097,17,2,3,52,53,1)
(5098,11,5,3,52,62,1)
(5099,11,1,3,53,54,1)
(5100,22,7,2,53,63,0)
(5101,11,6,3,54,55,1)
(5102,19,5,2,54,64,1)
(5104,13,2,2,55,65,1)
(5105,15,8,2,56,57,0)
(5106,22,7,1,56,66,1)
(5107,22,4,5,57,58,1)
(5108,10,4,1,57,67,1)
(5109,22,2,2,58,59,0)
(5110,15,1,1,58,68,1)
(5111,20,2,3,59,60,1)
(5112,22,1,2,59,69,1)
(5114,19,8,5,61,62,0)
(5115,15,6,5,61,71,1)
(5116,22,4,4,62,63,1)
(5117,13,2,3,62,72,1)
(5118,13,2,3,63,64,0)
(5119,22,4,1,63,73,1)
(5121,12,4,3,64,74,1)
(5122,19,1,5,65,66,1)
(5123,22,4,1,65,75,0)
(5124,17,7,2,66,67,1)
(5125,19,4,3,66,76,1)
(5126,18,8,2,67,68,0)
(5127,19,4,2,67,77,1)
(5128,14,7,5,68,69,1)
(5129,12,7,5,68,78,1)
(5130,22,3,4,69,70,0)
(5131,17,2,3,69,79,1)
(5132,21,1,4,70,80,1)
(5133,21,4,1,71,72,1)
(5134,14,7,3,71,81,0)
(5136,12,4,3,72,82,1)
(5137,17,2,2,73,74,1)
(5138,17,4,3,73,83,0)
(5139,20,3,1,74,75,1)
(5140,15,2,3,74,84,1)
(5141,22,1,2,75,76,1)
(5143,23,2,1,76,77,0)
(5144,16,5,5,76,86,1)
(5145,15,2,5,77,78,1)
(5146,18,5,4,77,87,0)
(5147,22,2,1,78,79,1)
(5148,23,2,3,78,88,1)
(5149,16,6,1,79,80,1)
(5150,12,2,1,79,89,0)
(5151,14,8,1,80,90,1)
(5152,14,3,4,81,82,1)
(5153,23,3,5,81,91,1)
(5154,21,3,3,82,83,1)
(5155,24,2,5,82,92,0)
(5156,19,2,3,83,84,1)
(5157,13,3,2,83,93,1)
(5158,15,8,1,84,85,1)
(5159,15,7,2,84,94,0)
(5160,21,7,1,85,86,1)
(5161,17,2,2,85,95,1)
(5163,21,1,4,86,96,0)
(5164,21,1,5,87,88,1)
(5165,21,6,2,87,97,1)
(5166,22,4,3,88,89,1)
(5167,19,6,2,88,98,1)
(5168,18,6,2,89,90,0)
(5169,20,6,4,89,99,1)
(5170,18,1,1,90,100,1)
(5171,20,8,5,91,92,1)
(5172,21,5,5,92,93,1)
(5173,11,7,1,93,94,0)
(5174,24,8,3,94,95,1)
(5175,14,4,1,95,96,1)
(5176,15,5,4,96,97,0)
(5177,13,7,3,97,98,1)
(5178,12,2,4,98,99,1)
(5179,11,7,1,99,100,1)
